player_norm,avg_runs_last10,matches_count
jahurul islam,21.5,10
jai prakash yadav,3.0,4
jaker ali,41.0,8
jamaluddin ahmed,18.0,1
jannatul ferdus,6.0,5
jar blain,11.17,6
jasdeep singh,8.1,10
jaskaran singh,12.67,3
jatinder singh,37.7,10
javed omar,25.8,10
javeria khan,14.1,10
javeria rauf,5.5,2
jay odedra,3.88,8
jb nero,10.33,3
jb reva,3.75,4
jc archer,12.7,10
jc balt,17.5,2
jc buttler,22.9,10
jc carroll,0.0,1
jc hartenhof,1.0,1
jc tredwell,10.4,10
jd campbell,49.6,5
jd nel,3.0,2
jd ryder,26.2,10
jdf vandersay,4.3,10
jdp oram,15.9,10
jds neesham,17.9,10
je cameron,32.2,10
je dunford,2.0,3
je root,55.8,10
je taylor,6.3,10
jec franklin,15.2,10
jf kloppenburg,37.25,4
jf mooney,9.9,10
jf smith,66.0,2
jg bethell,28.3,10
jh davey,9.9,10
jh desai,16.0,1
jh kallis,13.5,10
jh stander,17.0,2
ji de villiers,4.0,7
ji rodrigues,46.1,10
jj atkinson,21.0,4
jj bumrah,7.2,10
jj celestine,9.33,3
jj davidson,9.5,4
jj esmeijer,1.5,2
jj krejza,6.5,2
jj roy,33.1,10
jj smit,8.0,10
jj tucker,17.6,10
jj van der wath,11.12,8
jjc lawson,3.67,3
jk kamande,7.8,10
jkc claxton,22.25,4
jl aras,5.0,1
jl carter,24.4,10
jl denly,32.3,10
jl gunn,14.7,10
jl hunter,16.0,1
jl jonassen,7.9,10
jl ontong,16.17,6
jl pattinson,5.86,7
jl smith,27.1,10
jm anderson,6.9,10
jm bairstow,22.6,10
jm cox,7.33,3
jm davison,21.7,10
jm fields,26.88,8
jm how,11.6,10
jm kemp,27.7,10
jm kerr,11.6,10
jm mennie,0.5,2
jm vince,32.6,10
jm watkin,6.0,4
jm willathgamuwa,6.67,3
jn frylinck,23.5,10
jn gillespie,10.0,10
jn hamilton,5.0,1
jn loftie-eaton,18.2,10
jn malan,20.0,10
jn mohammed,10.1,10
jn rhodes,2.0,1
jnk shannon,2.0,1
jnt seales,6.5,8
jnt vare,7.0,5
jo holder,20.9,10
jo ngoche,3.67,3
jo troughton,7.2,5
joa gordon,2.75,8
joginder sharma,5.0,1
joseph angara,0.0,1
jp behrendorff,3.5,6
jp bray,23.4,10
jp duminy,17.3,10
jp faulkner,13.6,10
jp greaves,28.5,10
jp inglis,35.5,10
jp kotze,17.2,10
jp maher,20.33,6
jpr lamsam,16.0,1
jr hazlewood,1.8,10
jr hopes,27.4,10
jr philippe,21.67,3
js ababu,0.0,2
js malhotra,32.1,10
js patel,7.9,10
jt ball,6.33,6
jt brassell,0.4,5
jt smuts,36.0,5
jubair hossain,5.0,1
junaid khan,2.1,10
junaid siddique,1.2,10
junaid siddiqui,9.83,6
jv harris,15.17,6
jw dernbach,2.38,8
jw hastings,18.9,10
jw jenner,29.75,4
jw ogle-thomas,5.0,2
jw wilson,1.0,1
jwa taylor,39.6,10
jwm dalrymple,9.7,10
k bhurtel,25.2,10
k birkenstock,11.5,10
k chigora,3.0,2
k christie,0.0,1
k doriga,21.5,10
k frank,10.0,7
k fraser,22.9,10
k gore,13.4,10
k goud,2.0,2
k gowtham,2.0,1
k kamyuka,2.0,1
k kavindi,8.5,2
k klein,12.5,10
k mahato,0.5,2
k meso,8.0,2
k ndlovu,18.4,10
k phillip,0.0,1
k pierre,19.5,2
k rabada,8.6,10
k ramharack,6.0,10
k schultz,0.0,1
k sinclair,12.67,3
k sonavale,1.67,3
k thomson,26.0,2
k verreynne,35.8,10
k weeraratne,24.0,5
k whatham,18.0,1
k zondo,24.33,6
ka blackwell,3.0,1
ka edwards,22.4,10
ka hope,23.0,6
ka jamieson,13.14,7
ka maharaj,7.5,10
ka pollard,25.9,10
kabir ali,6.75,8
kad hurdle,3.12,8
kada kanchana,14.3,10
kainat imtiaz,10.2,10
kaj roach,4.0,10
kaleem sana,5.3,10
kaleemullah,3.0,10
kamran akmal,24.5,10
kamran ghulam,30.0,7
kamran hussain,28.0,1
kamran shazad,0.0,1
kar hodge,12.33,3
karan kc,20.4,10
kashif daud,11.1,10
kaynat hafeez,4.0,1
kc brathwaite,27.8,10
kc hodsoll,2.0,1
kc sangakkara,81.3,10
kd karthik,19.1,10
kd mills,12.7,10
kd shah,16.0,7
kdk vithanage,12.5,6
kdu prabodhani,2.7,10
ke broadmore,4.5,2
ke bryce,59.4,10
ke ebrahim,13.0,4
ked carroll,9.33,3
kh brunt,16.4,10
kh butt,4.0,2
kh pandya,32.5,4
kh prajapati,27.0,10
khadija tul kubra,3.0,8
khaled ahmed,0.5,2
khaled mahmud,14.9,10
khaled mashud,14.9,10
khalid kail,23.4,5
khalid latif,29.4,5
khawar ali,28.1,10
khrk fernando,1.5,2
khurram chohan,8.56,9
khurram khan,26.33,9
khurram manzoor,34.33,6
khurram nawaz,13.0,2
khushdil shah,27.6,10
kic asalanka,45.6,10
kj abbott,4.2,10
kj coetzer,18.8,10
kj garth,9.5,10
kj harding,1.0,1
