id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround
494230,Asif Ali,7,middle-order batter,right-hand bat,right-arm offbreak,21,16,382,25.46,121.65,0,3,0,,10.8,,25.46,,0
1214078,Ayesha Naseem,7,top-order batter,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
39037,Azhar Ali,7,top-order batter,right-hand bat,legbreak,53,53,1845,36.9,74.45,3,12,4,65,6.04,64.5,36.9,65,4
348144,Babar Azam,7,batter,right-hand bat,right-arm offbreak,95,93,4813,59.41,89.03,17,24,,,,,59.41,,
260229,Bismah Maroof,7,allrounder,left-hand bat,legbreak,,,,,,,,,,,,,,
572638,Diana Baig,7,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,
681117,Faheem Ashraf,7,bowling allrounder,left-hand bat,right-arm medium,31,22,218,11.47,83.84,0,0,23,46.08,5.11,54,11.47,46.08,23
512191,Fakhar Zaman,7,opening batter,left-hand bat,slow left-arm orthodox,65,65,2785,45.65,92.52,8,15,1,111,4.93,135,45.65,111,1
1144886,Fatima Sana,7,bowling allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,
40250,Fawad Alam,7,top-order batter,left-hand bat,slow left-arm orthodox,38,36,966,40.25,74.47,1,6,5,75.4,5.68,79.6,40.25,75.4,5
1080011,Ghulam Fatima,7,bowler,right-hand bat,legbreak,,,,,,,,,,,,,,
1144870,Gull Feroza,7,wicketkeeper batter,right-hand bat,,,,,,,,,,,,,,,
1168651,Haider Ali,7,middle-order batter,right-hand bat,,2,2,42,21,127.27,0,0,,,,,21,,
1161606,Haris Rauf,7,bowler,right-hand bat,right-arm fast,18,7,10,3.33,30.3,0,0,30,29.26,5.77,30.4,3.33,29.26,30
318788,Haris Sohail,7,middle-order batter,left-hand bat,slow left-arm orthodox,45,44,1749,44.84,85.48,2,14,11,55.72,5.72,58.3,44.84,55.72,11
681305,Hasan Ali,7,bowler,right-hand bat,right-arm medium-fast,60,35,363,15.12,121.4,0,2,91,30.36,5.75,31.6,15.12,30.36,91
480603,Iftikhar Ahmed,7,middle-order batter,right-hand bat,right-arm offbreak,10,9,124,24.8,83.78,0,0,8,39.12,5.21,45,24.8,39.12,8
568276,Imam-ul-Haq,7,top-order batter,left-hand bat,,56,56,2545,50.9,82.68,9,14,,,,,50.9,,
572633,Iram Javed,7,middle-order batter,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
346680,Javeria Khan,7,top-order batter,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,
361856,Kainat Imtiaz,7,bowler,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
623636,Kamran Ghulam,7,allrounder,right-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,
716733,Khushdil Shah,7,middle-order batter,left-hand bat,slow left-arm orthodox,10,8,199,33.16,94.76,0,0,2,61,6.77,54,33.16,61,2
556684,Mir Hamza,7,bowler,left-hand bat,left-arm medium,,,,,,,,,,,,,,
1158175,Mohammad Ali,7,bowler,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
1205559,Mohammad Haris,7,middle-order batter,right-hand bat,right-arm offbreak,4,3,10,3.33,55.55,0,0,,,,,3.33,,
1158100,Mohammad Hasnain,7,bowler,right-hand bat,right-arm fast,9,5,47,23.5,167.85,0,0,12,41.41,6.44,38.5,23.5,41.41,12
348148,Mohammad Nawaz (3),7,allrounder,left-hand bat,slow left-arm orthodox,25,20,264,16.5,86.55,0,1,37,27.67,4.84,34.2,16.5,27.67,37
323389,Mohammad Rizwan,7,wicketkeeper batter,right-hand bat,,52,47,1247,32.81,86.35,2,8,,,,,32.81,,
1185538,Mohammad Wasim (1),7,allrounder,right-hand bat,right-arm fast-medium,11,6,51,10.2,92.72,0,0,18,25.94,5.38,28.8,10.2,25.94,18
941795,Muneeba Ali,7,wicketkeeper batter,left-hand bat,,,,,,,,,,,,,,,
361854,Nahida Khan,7,opening batter,right-hand bat,right-arm medium,,,,,,,,,,,,,,
1158088,Naseem Shah,7,bowler,right-hand bat,right-arm fast,5,2,3,3,27.27,0,0,18,12.55,5.04,14.9,3,12.55,18
398438,MA Agarwal,6,batter,right-hand bat,right-arm offbreak,5,5,86,17.2,103.61,0,0,0,,10,,17.2,,0
960673,K Anjali Sarvani,6,bowler,left-hand bat,left-arm medium,,,,,,,,,,,,,,
1125976,Arshdeep Singh,6,bowler,left-hand bat,left-arm medium-fast,3,1,9,9,100,0,0,0,,6.75,,9,,0
26421,R Ashwin,6,bowling allrounder,right-hand bat,right-arm offbreak,113,63,707,16.44,86.96,0,1,151,33.49,4.94,40.6,16.44,33.49,151
694211,Avesh Khan,6,bowler,right-hand bat,right-arm fast-medium,5,2,13,6.5,72.22,0,0,3,71.33,6.02,71,6.5,71.33,3
1204925,SD Bahadur,6,bowling allrounder,left-hand bat,right-arm medium,,,,,,,,,,,,,,
529436,KS Bharat,6,wicketkeeper batter,right-hand bat,,,,,,,,,,,,,,,
883423,T Bhatia,6,wicketkeeper batter,right-hand bat,,,,,,,,,,,,,,,
960715,YH Bhatia,6,middle-order batter,left-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,
442048,E Bisht,6,bowler,left-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,
625383,JJ Bumrah,6,bowler,right-hand bat,right-arm fast,72,20,47,6.71,50.53,0,0,121,24.3,4.63,31.4,6.71,24.3,121
430246,YS Chahal,6,bowler,right-hand bat,legbreak googly,72,14,77,8.55,54.6,0,0,121,27.13,5.26,30.9,8.55,27.13,121
447261,DL Chahar,6,bowler,right-hand bat,right-arm medium,13,9,203,33.83,98.06,0,2,16,30.56,5.75,31.8,33.83,30.56,16
960845,H Deol,6,middle-order batter,right-hand bat,"right-arm offbreak,legbreak googly",,,,,,,,,,,,,,
28235,S Dhawan,6,opening batter,left-hand bat,right-arm offbreak,167,164,6793,44.11,91.35,17,39,,,,,44.11,,
1060380,RD Gaikwad,6,batter,right-hand bat,right-arm offbreak,1,1,19,19,45.23,0,0,,,,,19,,
709635,RS Gayakwad,6,bowler,right-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,
1212830,RM Ghosh,6,wicketkeeper batter,right-hand bat,right-arm medium,,,,,,,,,,,,,,
53932,J Goswami,6,bowler,right-hand bat,right-arm fast-medium,,,,,,,,,,,,,,
961107,D Hemalatha,6,top-order batter,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,
497121,DJ Hooda,6,allrounder,right-hand bat,right-arm offbreak,10,7,153,25.5,80.95,0,0,3,39.66,4.76,50,25.5,39.66,3
720471,Ishan Kishan,6,wicketkeeper batter,left-hand bat,,13,12,507,46.09,107.18,1,3,,,,,46.09,,
642519,SS Iyer,6,top-order batter,right-hand bat,"right-arm offbreak,legbreak googly",42,38,1631,46.6,96.5,2,14,0,,6.32,,46.6,,0
851403,VR Iyer,6,allrounder,left-hand bat,right-arm medium,2,2,24,12,60,0,0,0,,5.6,,12,,0
234675,RA Jadeja,6,allrounder,left-hand bat,slow left-arm orthodox,171,115,2447,32.62,86.52,0,13,189,37.36,4.92,45.5,32.62,37.36,189
30045,KD Karthik,6,wicketkeeper batter,right-hand bat,right-arm offbreak,94,79,1752,30.2,73.24,0,9,,,,,30.2,,
372317,H Kaur,6,allrounder,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,
1255411,AB Kaur,6,,right-hand bat,,,,,,,,,,,,,,,
253802,V Kohli,6,top-order batter,right-hand bat,right-arm medium,271,262,12809,57.69,93.77,46,64,4,166.25,6.22,160.2,57.69,166.25,4
559235,Kuldeep Yadav,6,bowler,left-hand bat,left-arm wrist-spin,78,28,146,12.16,66.06,0,0,130,27.43,5.19,31.6,12.16,27.43,130
326016,B Kumar,6,bowler,right-hand bat,right-arm medium,121,55,552,14.15,73.89,0,1,141,35.11,5.08,41.4,14.15,35.11,141
597806,S Mandhana,6,opening batter,left-hand bat,right-arm offbreak,,,,,,,,,,,,,,
556529,S Meghana,6,opening batter,right-hand bat,right-arm medium,,,,,,,,,,,,,,
709839,Meghna Singh,6,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,
481896,Mohammed Shami,6,bowler,right-hand bat,right-arm fast,87,41,190,8.63,83.33,0,0,159,25.95,5.6,27.7,8.63,25.95,159
940973,Mohammed Siraj,6,bowler,right-hand bat,right-arm fast,21,8,27,6.75,48.21,0,0,38,20.73,4.61,26.9,6.75,20.73,38
1289983,KP Navgire,6,middle-order batter,right-hand bat,,,,,,,,,,,,,,,
442145,S Pandey,6,allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,
625371,HH Pandya,6,allrounder,right-hand bat,right-arm medium-fast,71,52,1518,33.73,113.28,0,9,68,38.52,5.59,41.3,33.73,38.52,68
931581,RR Pant,6,wicketkeeper batter,left-hand bat,,30,26,865,34.6,106.65,1,5,,,,,34.6,,
236489,DJ Malan,1,top-order batter,left-hand bat,legbreak,15,15,644,53.66,97.57,3,3,1,17,6.8,15,53.66,17,1
459257,TS Mills,1,bowler,right-hand bat,left-arm fast,,,,,,,,,,,,,,
24598,EJG Morgan,1,middle-order batter,left-hand bat,right-arm medium,248,230,7701,39.29,91.16,14,47,,,,,39.29,,
464626,C Overton,1,bowling allrounder,right-hand bat,right-arm medium-fast,7,5,68,22.66,89.47,0,0,5,58.2,5.66,61.6,22.66,58.2,5
510530,J Overton,1,bowling allrounder,right-hand bat,right-arm fast,,,,,,,,,,,,,,
653695,MW Parkinson,1,bowler,right-hand bat,legbreak,5,1,7,,87.5,0,0,5,40.6,5.85,41.6,,40.6,5
362710,DA Payne,1,bowler,right-hand bat,left-arm fast-medium,,,,,,,,,,,,,,
887207,OJ Pope,1,middle-order batter,right-hand bat,,,,,,,,,,,,,,,
1027781,MJ Potts,1,bowler,right-hand bat,right-arm fast-medium,1,1,3,,75,0,0,0,,8.25,,,,0
244497,AU Rashid,1,bowler,right-hand bat,legbreak,122,56,703,18.5,100.42,0,1,175,33.03,5.66,34.9,18.5,33.03,175
1263691,Rehan Ahmed,1,bowling allrounder,right-hand bat,legbreak googly,,,,,,,,,,,,,,
527776,OE Robinson,1,bowler,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
303669,JE Root,1,top-order batter,right-hand bat,"right-arm offbreak,legbreak",158,147,6207,50.05,86.93,16,36,26,57.5,5.77,59.7,50.05,57.5,26
298438,JJ Roy,1,opening batter,right-hand bat,,113,107,4116,39.57,105.97,11,21,,,,,39.57,,
669365,PD Salt,1,wicketkeeper batter,right-hand bat,right-arm offbreak,11,9,406,45.11,132.24,1,2,,,,,45.11,,
515905,NR Sciver,1,allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,
254238,A Shrubsole,1,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,
874277,BF Smith,1,allrounder,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,
311158,BA Stokes,1,allrounder,left-hand bat,right-arm fast-medium,105,90,2924,38.98,95.08,3,21,74,42.39,6.05,42,38.98,42.39,74
457279,OP Stone,1,bowler,right-hand bat,right-arm fast,8,4,14,7,82.35,0,0,8,39.62,5.98,39.7,7,39.62,8
