id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround,Runs,Ave,HS,BF,SR,Mat,Inns,100,Wkts,Econ,BBI,4,5,span,matches_odi_batting,innings_odi_batting,not_out,runs_odi_batting,high_score,average_score_odi_batting,ball_faced,strike_rate_odi_batting,100s_odi_batting,50_odi_batting,0s,4s,6s,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk,Country,Date_Of_Birth
638256,JN Nkomo,9,,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453277,VM Nyauchi,9,bowler,right-hand bat,right-arm fast-medium,10.0,6.0,43.0,7.16,82.69,0.0,0.0,7.0,50.42,5.26,57.4,7.16,50.42,7.0,,,,,,,,,,,,,,2022-2023,10.0,6.0,0.0,43.0,26,7.16,52.0,82.69,0.0,0.0,2.0,5.0,1.0,2022-2023,Feb-65,Feb-65,,50.42,5.26,57.4,353.0,0.0,0.0,10.0,5.0,10.0,67.0,,0.0,7.0,Zimbabwe,08/07/1992
1135025,L Phiri,9,,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951781,M Shumba,9,top-order batter,left-hand bat,slow left-arm orthodox,6.0,5.0,27.0,6.75,46.55,0.0,0.0,0.0,,6.14,,6.75,,0.0,,,,,,,,,,,,,,2021-2022,6.0,5.0,1.0,27.0,11,6.75,58.0,46.55,0.0,0.0,0.0,1.0,1.0,2021-2022,,,,,6.14,,42.0,0.0,0.0,2.0,0.0,6.0,6.5,,0.0,0.0,Zimbabwe,19/10/2000
1080012,N Sibanda,9,,left-hand bat,left-arm medium,,,,,,,21.0,,,,,,,,2994.0,88.33,116,4716.0,89.0,127.0,126.0,2.0,3.0,5.95,01-Dec,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zimbabwe,10/10/1983
299572,Sikandar Raza,9,batting allrounder,right-hand bat,right-arm offbreak,126.0,120.0,3724.0,36.5,84.52,6.0,14.0,71.0,45.32,4.91,55.3,36.5,45.32,71.0,2656.0,38.45,141,3249.0,48.2,97.0,93.0,3.0,59.0,4.78,Mar-21,0.0,0.0,2013-2023,126.0,120.0,18.0,3724.0,141,36.5,4406.0,84.52,6.0,20.0,2.0,307.0,86.0,2013-2023,21-Mar,21-Mar,,45.32,4.91,55.3,3218.0,0.0,0.0,97.0,23.0,126.0,655.2,,0.0,71.0,Zimbabwe,24/04/1986
392945,DT Tiripano,9,bowler,right-hand bat,right-arm fast-medium,38.0,29.0,364.0,17.33,66.3,0.0,0.0,36.0,40.44,5.79,41.8,17.33,40.44,36.0,271.0,40.07,44,468.0,43.5,31.0,22.0,0.0,28.0,5.51,May-63,0.0,1.0,2014-2022,38.0,29.0,8.0,364.0,55*,17.33,549.0,66.3,0.0,1.0,2.0,30.0,8.0,2014-2022,May-63,May-63,,40.44,5.79,41.8,1456.0,1.0,0.0,36.0,12.0,38.0,251.2,,0.0,36.0,Zimbabwe,17/03/1988
538593,L Tshuma,9,,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722321,TE Tsiga,9,wicketkeeper batter,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zimbabwe,13/07/1994
55870,SC Williams,9,middle-order batter,left-hand bat,slow left-arm orthodox,147.0,142.0,4266.0,34.68,82.13,5.0,31.0,77.0,48.54,4.94,58.9,34.68,48.54,77.0,3717.0,46.47,129*,4546.0,57.4,131.0,127.0,3.0,71.0,4.85,Apr-43,1.0,0.0,2005-2022,147.0,142.0,19.0,4266.0,129*,34.68,5194.0,82.13,5.0,32.0,8.0,366.0,44.0,2005-2022,Apr-43,Apr-43,,48.54,4.94,58.9,3738.0,0.0,1.0,121.0,32.0,147.0,756.4,,0.0,77.0,West Indies,12/08/1969
